county_orig	county_clean	state_clean	count	match	fips	error	err2	
WAUSHARA(WI)	WAUSHARA	WI	11	WAUSHARA-WI	13137	FALSE	0	
GREEN(WI)	GREEN	WI	8	GREEN-WI	54045	FALSE	0	
MANITOWOC(WI)	MANITOWOC	WI	8	MANITOWOC-WI	60071	FALSE	0	
MONROE(WI)	MONROE	WI	8	MONROE-WI	54081	FALSE	0	
PORTAGE(WI)	PORTAGE	WI	8	PORTAGE-WI	18097	FALSE	0	
VILAS(WI)	VILAS	WI	8	VILAS-WI	72125	FALSE	0	
IOWA(WI)	IOWA	WI	7	IOWA-WI	37049	FALSE	0	
JEFFERSON(WI)	JEFFERSON	WI	7	JEFFERSON-WI	54055	FALSE	0	
JUNEAU(WI)	JUNEAU	WI	7	JUNEAU-WI	42057	FALSE	0	
PRICE(WI)	PRICE	WI	7	PRICE-WI	51099	FALSE	0	
WASHBURN(WI)	WASHBURN	WI	7	WASHBURN-WI	22129	FALSE	0	
DOUGLAS(WI)	DOUGLAS	WI	6	DOUGLAS-WI	05031	FALSE	0	
MARATHON(WI)	MARATHON	WI	6	MARATHON-WI	01073	FALSE	0	
MARQUETTE(WI)	MARQUETTE	WI	6	MARQUETTE-WI	01077	FALSE	0	
SAWYER(WI)	SAWYER	WI	6	SAWYER-WI	36113	FALSE	0	
CLARK(WI)	CLARK	WI	5	CLARK-WI	01019	FALSE	0	
JACKSON(WI)	JACKSON	WI	5	JACKSON-WI	54053	FALSE	0	
LANGLADE(WI)	LANGLADE	WI	5	LANGLADE-WI	13067	FALSE	0	
IRON(WI)	IRON	WI	4	IRON-WI	17051	FALSE	0	
CRAWFORD(WI)	CRAWFORD	WI	3	CRAWFORD-WI	40023	FALSE	0	
DUNN(WI)	DUNN	WI	3	DUNN-WI	17033	FALSE	0	
OZAUKEE(WI)	OZAUKEE	WI	3	OZAUKEE-WI	53089	FALSE	0	
RICHLAND(WI)	RICHLAND	WI	3	RICHLAND-WI	51103	FALSE	0	
VERNON(WI)	VERNON	WI	3	VERNON-WI	48123	FALSE	0	
BURNETT(WI)	BURNETT	WI	2	BURNETT-WI	31013	FALSE	0	
DOOR(WI)	DOOR	WI	2	DOOR-WI	72029	FALSE	0	
PIERCE(WI)	PIERCE	WI	2	PIERCE-WI	01093	FALSE	0	
RUSK(WI)	RUSK	WI	2	RUSK-WI	01107	FALSE	0	
TAYLOR(WI)	TAYLOR	WI	2	TAYLOR-WI	54119	FALSE	0	
TREMPEALEAU(WI)	TREMPEALEAU	WI	2	TREMPEALEAU-WI	13121	FALSE	0	
WAUPACA(WI)	WAUPACA	WI	2	WAUPACA-WI	55135	FALSE	0	
ASHLAND(WI)	ASHLAND	WI	1	ASHLAND-WI	05003	FALSE	0	
BUFFALO(WI)	BUFFALO	WI	1	BUFFALO-WI	21011	FALSE	0	
CALUMET(WI)	CALUMET	WI	1	CALUMET-WI	24015	FALSE	0	
CHIPPEWA(WI)	CHIPPEWA	WI	1	CHIPPEWA-WI	27017	FALSE	0	
FLORENCE(WI)	FLORENCE	WI	1	FLORENCE-WI	72037	FALSE	0	
FOREST(WI)	FOREST	WI	1	FOREST-WI	28041	FALSE	0	
GREEN LAKE(WI)	GREEN LAKE	WI	1	GREEN LAKE-WI	21047	FALSE	0	
LAFAYETTE(WI)	LAFAYETTE	WI	1	LAFAYETTE-WI	22065	FALSE	0	
POLK(WI)	POLK	WI	1	POLK-WI	72095	FALSE	0	
KING(WA)	KING	WA	36	KING-WA	40033	FALSE	0	
PIERCE(WA)	PIERCE	WA	24	PIERCE-WA	55053	FALSE	0	
SPOKANE(WA)	SPOKANE	WA	20	SPOKANE-WA	51063	FALSE	0	
KITSAP(WA)	KITSAP	WA	16	KITSAP-WA	53035	FALSE	0	
SNOHOMISH(WA)	SNOHOMISH	WA	9	SNOHOMISH-WA	42061	FALSE	0	
CLARK(WA)	CLARK	WA	8	CLARK-WA	55011	FALSE	0	
LEWIS(WA)	LEWIS	WA	6	LEWIS-WA	54041	FALSE	0	
SKAGIT(WA)	SKAGIT	WA	6	SKAGIT-WA	02057	FALSE	0	
YAKIMA(WA)	YAKIMA	WA	6	YAKIMA-WA	02077	FALSE	0	
THURSTON(WA)	THURSTON	WA	5	THURSTON-WA	13067	FALSE	0	
BENTON(WA)	BENTON	WA	3	BENTON-WA	26005	FALSE	0	
WALLA WALLA(WA)	WALLA WALLA	WA	3	WALLA WALLA-WA	20071	FALSE	0	
CHELAN(WA)	CHELAN	WA	2	CHELAN-WA	36007	FALSE	0	
CLALLAM(WA)	CLALLAM	WA	2	CLALLAM-WA	26009	FALSE	0	
FRANKLIN(WA)	FRANKLIN	WA	2	FRANKLIN-WA	24021	FALSE	0	
WHATCOM(WA)	WHATCOM	WA	2	WHATCOM-WA	30073	FALSE	0	
FERRY(WA)	FERRY	WA	1	FERRY-WA	27019	FALSE	0	
GRAYS HARBOR(WA)	GRAYS HARBOR	WA	1	GRAYS HARBOR-WA	21027	FALSE	0	
ISLAND(WA)	ISLAND	WA	1	ISLAND-WA	51029	FALSE	0	
OKANOGAN(WA)	OKANOGAN	WA	1	OKANOGAN-WA	12047	FALSE	0	
PEND OREILLE(WA)	PEND OREILLE	WA	1	PEND OREILLE-WA	37051	FALSE	0	
STEVENS(WA)	STEVENS	WA	1	STEVENS-WA	13065	FALSE	0	
CHITTENDEN(VT)	CHITTENDEN	VT	3	CHITTENDEN-VT	01007	FALSE	0	
WASHINGTON(VT)	WASHINGTON	VT	1	WASHINGTON-VT	55023	FALSE	0	
ST JOSEPH(IN)	ST JOSEPH	IN	589	#NAME?	#NAME?	TRUE	1	
LA PORTE(IN)	LAPORTE	IN	249	LAPORTE-IN	56091	FALSE	0	
DADE(FL)	DADE	FL	95	DADE-FL	#N/A	TRUE	1	
NORFOLK CITY(VA)	NORFOLK CITY	VA	41	NORFOLK CITY-VA	25710	FALSE	0	
HAMPTON CITY(VA)	HAMPTON CITY	VA	34	HAMPTON CITY-VA	45650	FALSE	0	
NEWPORT NEWS CITY(VA)	NEWPORT NEWS CITY	VA	19	NEWPORT NEWS CITY-VA	44700	FALSE	0	
VIRGINIA BEACH CITY(VA)	VIRGINIA BEACH CITY	VA	18	VIRGINIA BEACH CITY-VA	12810	FALSE	0	
CHESTERFIELD(VA)	CHESTERFIELD	VA	11	CHESTERFIELD-VA	08041	FALSE	0	
ALEXANDRIA CITY(VA)	ALEXANDRIA CITY	VA	9	ALEXANDRIA CITY-VA	40510	FALSE	0	
RICHMOND CITY(VA)	RICHMOND CITY	VA	7	RICHMOND CITY-VA	13760	FALSE	0	
TAZEWELL(VA)	TAZEWELL	VA	7	TAZEWELL-VA	06185	FALSE	0	
